CreationDate	Text	UserId	Score	PostId	Id
2010-07-20T19:24:43.013	I would recommend you be a bit more specific about what kind of answer you are looking for. If you are looking for a heuristic answer or a more mathematically rigorous one.	16	4	2	1
2010-07-20T19:24:44.963	Fantastic answer!	10		9	2
2010-07-20T19:26:09.357	I like this so far, but maybe add a bit on uncountable to distinguish the difference.	16	3	9	3
2010-07-20T19:27:07.983	Oh, I figured as so. I remember learning about this a while ago with the graph as presentation. Thanks.	40		17	5
2010-07-20T19:28:16.077	It is much better than an approximation: it gives the exact value for all $n$	55		17	8
2010-07-20T19:29:17.900	You've missed out many types of number: complex numbers, imaginary numbers, integers, rationals, hyper-reals, quaternions, etc.\n\nGood question though :)	35	2	20	10
2010-07-20T19:32:12.010	I see. That's the problem I notice in equations I was looking at before, the approximation kills the "closeness" to the number as the variable gets larger. I essentially see this as the solution, too bad I have to wait 7 minutes to accept yours as the answer.\n\nBut, cheers, thanks.	40		17	11
2010-07-20T19:34:12.770	@Fanfan: Thanks, corrected.	38		17	12
2010-07-20T19:36:22.330	As good an answer as any. It works that way because that's how the operation is defined :)	35	1	42	13
2010-07-20T19:37:22.450	Define 'flattening factor' please.	56	1	18	14
2010-07-20T19:37:46.820	A really good book on the subject was written by David Wallace Foster, [Everything and More: A Compact History of Infinity](http://www.amazon.co.uk/Everything-More-Compact-History-Infinity/dp/0753818825/ref=ntt_at_ep_dpt_10)	49	1	35	15
2010-07-20T19:38:37.830	Your definitions of rationals, irrationals, and reals are interdependent, of course. You're relying on the intuitive understanding of reals it seems, which is fair enough at this level...	56		40	16
2010-07-20T19:39:37.937	That's a really good answer, thanks :D	22		9	17
2010-07-20T19:40:13.363	I'm not sure what the tags are for this	54		20	18
2010-07-20T19:40:56.577	I know, I'm having trouble coming up with a zero-interdependency definition.	38		40	19
