4	0	8	139	<c#><winforms><forms><type-conversion><opacity>
6	0	9	43	<html><css><css3><internet-explorer-7>
7	4	9	127	0
8	0	9	20	<c#><j#><visualj#>
9	0	1	330	<c#><.net><datetime>
11	0	1	388	<c#><.net><datetime><timespan>
12	11	1	113	0
13	0	9	157	<html><browser><timezone><timezoneoffset>
14	0	11	106	<.net><math>
16	0	2	23	<c#><linq><web-services><.net-3.5>
17	0	2	33	<mysql><database><binary-data><data-storage>
18	17	0	11	0
19	0	13	101	<performance><algorithm><language-agnostic><unix><pi>
20	8	5	4	0
21	9	13	5	0
22	9	17	2	0
23	0	48	23	<php>
24	0	22	24	<mysql><database><triggers>
25	0	23	30	<c++><c><sockets><mainframe><zos>
26	17	48	27	0
27	11	17	7	0
29	13	19	8	0
30	25	13	4	0
31	6	0	23	0
33	14	13	172	0
34	0	0	16	<flex><actionscript-3>
36	0	32	32	<sql-server><datatable><rdbms>
37	25	23	4	0
39	0	33	11	<c#><.net><vb.net><timer>
41	23	34	8	0
42	0	37	78	<php><plugins><architecture>
44	39	35	3	0
45	39	39	7	0
48	0	40	33	<html><form-submit>
49	24	43	10	0
51	36	17	8	0
52	34	23	4	0
53	34	34	5	0
56	48	39	11	0
58	48	37	24	0
59	0	45	16	<c#><linq><.net-3.5>
60	34	41	4	0
61	0	0	4	<office-2007><file-type>
62	59	45	17	0
63	61	39	5	0
65	61	35	3	0
66	0	17	20	<linq><.net-3.5>
68	66	17	30	0
71	19	49	29	0
72	0	25	8	<ruby><rdoc>
73	25	13	3	0
76	42	50	1	0
77	42	40	41	0
78	4	55	10	0
79	0	58	8	<eclipse><svn><aptana><subclipse>
80	0	26	5	<flex><actionscript-3><air>
81	34	41	3	0
82	36	51	6	0
83	42	59	6	0
84	16	60	2	0
85	0	59	22	<php><sql><database>
86	4	39	32	0
87	85	59	2	0
88	0	61	39	<c++><c><linux><unix><timer>
89	79	0	0	0
90	0	58	94	<svn><tortoisesvn>
91	90	44	0	0
92	90	61	6	0
93	88	25	0	0
94	90	39	88	0
97	85	40	9	0
98	88	65	33	0
99	88	25	2	0
100	85	59	2	0
101	85	40	2	0
103	13	72	14	0
104	0	39	82	<c#><.net><performance><memory-leaks><com-interop>
107	104	61	4	0
108	0	72	18	<windows><svn><64bit>
109	0	71	9	<c#><sql><vb.net><ascii><hex>
110	104	36	2	0
111	108	146270	30	0
112	104	34	63	0
113	108	60	2	0
114	108	17	6	0
116	108	58	1	0
120	0	83	6	<asp.net><sql><navigation><membership><sitemap>
123	0	78	25	<java><xml><csv><data-conversion>
124	80	26	2	0
126	0	58	16	<java><php><oop><theory>
127	126	35	26	0
128	126	26	2	0
129	0	48	23	<sql><mysql><sql-server><csv><bcp>
133	123	59	0	0
134	0	71	4	<.net><database><xsd>
135	129	72	2	0
139	126	72	2	0
141	129	71	1	0
142	126	42	0	0
143	126	86	1	0
145	0	87	5	<c#><compression><decompression><folders><file>
146	0	30	10	<php><apache>
147	42	146637	8	0
148	146	71	0	0
149	145	80	3	0
151	145	44	8	0
152	146	146637	6	0
153	146	59	2	0
154	85	146637	13	0
155	108	9	2	0
156	23	146637	12	0
158	146	70	8	0
159	104	42	15	0
160	129	17	30	0
161	104	33	6	0
162	8	17	16	0
163	0	83	47	<.net><asp.net><svn><versioning>
164	0	91	13	<windows><embed><media>
165	145	90	1	0
166	163	17	18	0
167	164	30	1	0
169	126	93	23	0
170	163	59	14	0
173	0	83	136	<sql-server><database><version-control>
174	0	96	23	<c#><html><web-services><printing>
175	0	65	8	<annotations><youtube><reverse-engineering>
176	0	91	20	<php><apache>
177	0	83	111	<.net><pdf>
179	177	39	33	0
180	0	65	25	<algorithm><language-agnostic><colors><color-space>
182	177	60	9	0
183	123	86	20	0
186	126	40	0	0
190	123	55	1	0
191	177	26	1	0
192	0	91	16	<c#><.net><asp.net><internationalization><globalization>
194	0	60	8	<sql-server><migration>
195	173	80	19	0
197	194	71	4	0
199	180	50	0	0
202	180	71	0	0
206	134	35	4	0
207	176	50	24	0
210	192	39	13	0
212	192	96	3	0
